因子名称,用作条件的因子,使用的参数,归属指数,科目类别,partion_loc,start_day,end_day,trl_day,nmlz_days,年化收益率 （全时期）,超额收益（全时期）：,夏普比率 （全时期）,最大回撤率 （全时期）,年化收益率 （前2/3时期）,夏普比率 （前2/3时期）,最大回撤率 （前2/3时期）,年化收益率 （后1/3时期）,夏普比率 （后1/3时期）,最大回撤率 （后1/3时期）,IC值,ICIR
pe,free_share,std_ratio,中证500,LT_SB,TOP,20130101,20201231,10,30,-3.91%,-13.87%,-0.58,-34.10%,-0.98%,-0.14,-16.79%,-9.52%,-1.47,-24.21%,-0.0,-0.0004
pe,free_share,std_ratio,中证500,Long_top,TOP,20130101,20201231,10,30,7.23%,-2.74%,0.39,-66.54%,11.82%,0.51,-54.88%,-1.42%,0.07,-34.60%,-0.0,-0.0004
pe,free_share,std_ratio,中证500,Long_bottom,TOP,20130101,20201231,10,30,11.43%,1.46%,0.52,-63.94%,12.70%,0.54,-56.02%,8.98%,0.46,-33.96%,-0.0,-0.0004
pe,free_share,std_ratio,中证500,LT_SB,TOP,20130101,20201231,20,30,-1.32%,-11.94%,-0.16,-23.00%,-2.29%,-0.31,-23.00%,0.59%,0.13,-10.53%,0.0011,0.0215
pe,free_share,std_ratio,中证500,Long_top,TOP,20130101,20201231,20,30,10.64%,0.02%,0.49,-64.66%,12.89%,0.54,-57.00%,6.25%,0.36,-32.40%,0.0011,0.0215
pe,free_share,std_ratio,中证500,Long_bottom,TOP,20130101,20201231,20,30,11.82%,1.19%,0.54,-64.36%,15.33%,0.62,-52.62%,4.98%,0.33,-34.55%,0.0011,0.0215
pe,free_share,std_ratio,中证500,LT_SB,TOP,20130101,20201231,30,30,-0.05%,-10.78%,0.01,-15.80%,1.07%,0.18,-14.56%,-2.20%,-0.32,-11.93%,0.0013,0.0294
pe,free_share,std_ratio,中证500,Long_top,TOP,20130101,20201231,30,30,11.82%,1.08%,0.55,-61.20%,14.84%,0.62,-53.96%,5.96%,0.35,-34.63%,0.0013,0.0294
pe,free_share,std_ratio,中证500,Long_bottom,TOP,20130101,20201231,30,30,11.91%,1.18%,0.55,-61.92%,14.06%,0.59,-51.73%,7.91%,0.43,-29.77%,0.0013,0.0294
pe,free_share,std_ratio,中证500,LT_SB,BOTTOM,20130101,20201231,10,30,-0.05%,-10.02%,0.03,-21.78%,0.39%,0.10,-21.78%,-0.88%,-0.10,-7.84%,-0.0004,-0.0079
pe,free_share,std_ratio,中证500,Long_top,BOTTOM,20130101,20201231,10,30,10.45%,0.48%,0.50,-65.89%,13.67%,0.57,-54.71%,4.30%,0.29,-37.29%,-0.0004,-0.0079
pe,free_share,std_ratio,中证500,Long_bottom,BOTTOM,20130101,20201231,10,30,10.35%,0.38%,0.49,-63.66%,13.18%,0.56,-54.17%,4.88%,0.32,-34.46%,-0.0004,-0.0079
pe,free_share,std_ratio,中证500,LT_SB,BOTTOM,20130101,20201231,20,30,1.07%,-9.55%,0.20,-17.78%,1.76%,0.29,-17.78%,-0.34%,-0.01,-7.11%,-0.0007,-0.014
pe,free_share,std_ratio,中证500,Long_top,BOTTOM,20130101,20201231,20,30,12.30%,1.68%,0.55,-60.43%,17.09%,0.67,-53.05%,3.12%,0.25,-33.51%,-0.0007,-0.014
pe,free_share,std_ratio,中证500,Long_bottom,BOTTOM,20130101,20201231,20,30,10.64%,0.02%,0.51,-62.36%,14.55%,0.61,-53.40%,3.32%,0.26,-32.04%,-0.0007,-0.014
pe,free_share,std_ratio,中证500,LT_SB,BOTTOM,20130101,20201231,30,30,0.00%,-10.74%,0.06,-22.85%,-0.98%,-0.11,-22.85%,1.95%,0.40,-8.89%,-0.0022,-0.0469
pe,free_share,std_ratio,中证500,Long_top,BOTTOM,20130101,20201231,30,30,11.52%,0.79%,0.54,-62.07%,13.48%,0.59,-53.94%,7.81%,0.42,-30.42%,-0.0022,-0.0469
pe,free_share,std_ratio,中证500,Long_bottom,BOTTOM,20130101,20201231,30,30,11.23%,0.49%,0.53,-62.29%,14.55%,0.61,-52.28%,4.79%,0.32,-32.19%,-0.0022,-0.0469
circ_mv,circ_mv,std,中证500,LT_SB,TOP,20130101,20201231,10,10,-8.69%,-18.92%,-1.04,-53.42%,-7.08%,-0.80,-37.75%,-11.82%,-1.49,-29.12%,0.0008,0.0096
circ_mv,circ_mv,std,中证500,Long_top,TOP,20130101,20201231,10,10,1.76%,-8.47%,0.21,-72.82%,6.05%,0.36,-62.06%,-6.25%,-0.14,-33.77%,0.0008,0.0096
circ_mv,circ_mv,std,中证500,Long_bottom,TOP,20130101,20201231,10,10,11.23%,1.01%,0.52,-66.48%,13.87%,0.58,-57.25%,6.15%,0.36,-33.59%,0.0008,0.0096
circ_mv,circ_mv,std,中证500,LT_SB,TOP,20130101,20201231,20,10,-11.57%,-21.53%,-1.40,-62.18%,-11.08%,-1.36,-45.75%,-12.50%,-1.41,-30.76%,-0.0037,-0.0475
circ_mv,circ_mv,std,中证500,Long_top,TOP,20130101,20201231,20,10,0.59%,-9.37%,0.17,-72.06%,3.71%,0.28,-58.31%,-5.57%,-0.12,-37.13%,-0.0037,-0.0475
circ_mv,circ_mv,std,中证500,Long_bottom,TOP,20130101,20201231,20,10,13.38%,3.42%,0.60,-59.96%,16.80%,0.68,-56.19%,6.64%,0.39,-30.32%,-0.0037,-0.0475
circ_mv,circ_mv,std,中证500,LT_SB,TOP,20130101,20201231,30,10,-9.67%,-19.63%,-1.15,-55.66%,-9.62%,-1.15,-44.85%,-9.81%,-1.14,-24.68%,-0.0021,-0.0262
circ_mv,circ_mv,std,中证500,Long_top,TOP,20130101,20201231,30,10,4.49%,-5.47%,0.31,-66.59%,7.62%,0.41,-56.49%,-1.51%,0.06,-32.59%,-0.0021,-0.0262
circ_mv,circ_mv,std,中证500,Long_bottom,TOP,20130101,20201231,30,10,15.23%,5.27%,0.67,-55.93%,19.04%,0.76,-50.91%,7.91%,0.46,-29.29%,-0.0021,-0.0262
circ_mv,circ_mv,std,中证500,LT_SB,BOTTOM,20130101,20201231,10,10,-2.05%,-12.27%,-0.16,-28.39%,-1.76%,-0.11,-28.39%,-2.64%,-0.25,-21.13%,-0.0067,-0.0748
circ_mv,circ_mv,std,中证500,Long_top,BOTTOM,20130101,20201231,10,10,6.35%,-3.88%,0.36,-69.96%,10.35%,0.47,-61.23%,-1.07%,0.09,-36.08%,-0.0067,-0.0748
circ_mv,circ_mv,std,中证500,Long_bottom,BOTTOM,20130101,20201231,10,10,8.30%,-1.92%,0.42,-67.74%,11.72%,0.52,-53.78%,1.76%,0.18,-35.72%,-0.0067,-0.0748
circ_mv,circ_mv,std,中证500,LT_SB,BOTTOM,20130101,20201231,20,10,-0.88%,-10.83%,-0.04,-23.09%,0.39%,0.09,-23.09%,-3.32%,-0.34,-14.62%,-0.0046,-0.0559
circ_mv,circ_mv,std,中证500,Long_top,BOTTOM,20130101,20201231,20,10,7.62%,-2.34%,0.41,-65.03%,12.70%,0.54,-54.38%,-1.71%,0.06,-34.06%,-0.0046,-0.0559
circ_mv,circ_mv,std,中证500,Long_bottom,BOTTOM,20130101,20201231,20,10,8.40%,-1.56%,0.44,-66.69%,12.01%,0.54,-53.32%,1.37%,0.18,-35.05%,-0.0046,-0.0559
circ_mv,circ_mv,std,中证500,LT_SB,BOTTOM,20130101,20201231,30,10,-2.25%,-12.21%,-0.20,-42.59%,-1.12%,-0.07,-32.14%,-4.44%,-0.51,-23.21%,-0.0074,-0.0915
circ_mv,circ_mv,std,中证500,Long_top,BOTTOM,20130101,20201231,30,10,5.18%,-4.79%,0.32,-72.00%,10.64%,0.49,-59.06%,-5.08%,-0.09,-37.11%,-0.0074,-0.0915
circ_mv,circ_mv,std,中证500,Long_bottom,BOTTOM,20130101,20201231,30,10,7.23%,-2.74%,0.41,-61.49%,11.62%,0.55,-51.86%,-1.17%,0.08,-34.60%,-0.0074,-0.0915
circ_mv,circ_mv,std,中证500,LT_SB,TOP,20130101,20201231,10,20,-13.13%,-23.10%,-1.57,-66.03%,-13.43%,-1.59,-52.74%,-12.40%,-1.44,-30.44%,-0.001,-0.0118
circ_mv,circ_mv,std,中证500,Long_top,TOP,20130101,20201231,10,20,-1.90%,-11.86%,0.08,-74.01%,1.56%,0.21,-61.85%,-8.45%,-0.24,-35.08%,-0.001,-0.0118
circ_mv,circ_mv,std,中证500,Long_bottom,TOP,20130101,20201231,10,20,12.40%,2.45%,0.56,-66.60%,16.80%,0.67,-58.09%,4.10%,0.28,-35.41%,-0.001,-0.0118
circ_mv,circ_mv,std,中证500,LT_SB,TOP,20130101,20201231,20,20,-11.57%,-21.53%,-1.35,-62.17%,-12.45%,-1.47,-50.33%,-9.81%,-1.05,-26.01%,-0.0039,-0.0467
circ_mv,circ_mv,std,中证500,Long_top,TOP,20130101,20201231,20,20,3.12%,-6.84%,0.25,-70.95%,5.47%,0.33,-58.15%,-1.42%,0.06,-35.71%,-0.0039,-0.0467
circ_mv,circ_mv,std,中证500,Long_bottom,TOP,20130101,20201231,20,20,16.31%,6.34%,0.69,-61.25%,20.61%,0.79,-56.78%,8.11%,0.45,-30.94%,-0.0039,-0.0467
circ_mv,circ_mv,std,中证500,LT_SB,TOP,20130101,20201231,30,20,-5.86%,-16.48%,-0.66,-40.30%,-6.30%,-0.71,-33.11%,-5.03%,-0.55,-23.22%,-0.0009,-0.0109
circ_mv,circ_mv,std,中证500,Long_top,TOP,20130101,20201231,30,20,5.66%,-4.96%,0.35,-66.54%,7.81%,0.40,-57.61%,1.46%,0.19,-29.43%,-0.0009,-0.0109
circ_mv,circ_mv,std,中证500,Long_bottom,TOP,20130101,20201231,30,20,12.60%,1.97%,0.58,-65.63%,15.72%,0.66,-56.78%,6.64%,0.38,-31.57%,-0.0009,-0.0109
circ_mv,circ_mv,std,中证500,LT_SB,BOTTOM,20130101,20201231,10,20,1.76%,-8.20%,0.24,-25.29%,3.42%,0.38,-25.29%,-1.37%,-0.06,-22.89%,-0.0046,-0.0484
circ_mv,circ_mv,std,中证500,Long_top,BOTTOM,20130101,20201231,10,20,6.15%,-3.80%,0.36,-68.64%,10.35%,0.48,-57.13%,-1.81%,0.06,-36.24%,-0.0046,-0.0484
circ_mv,circ_mv,std,中证500,Long_bottom,BOTTOM,20130101,20201231,10,20,4.00%,-5.95%,0.29,-70.99%,6.54%,0.37,-58.19%,-1.03%,0.09,-36.25%,-0.0046,-0.0484
circ_mv,circ_mv,std,中证500,LT_SB,BOTTOM,20130101,20201231,20,20,-2.73%,-12.70%,-0.21,-23.54%,-1.42%,-0.07,-21.56%,-5.22%,-0.51,-20.05%,-0.0058,-0.0695
circ_mv,circ_mv,std,中证500,Long_top,BOTTOM,20130101,20201231,20,20,5.66%,-4.30%,0.35,-67.27%,10.45%,0.48,-53.75%,-3.47%,0.01,-33.19%,-0.0058,-0.0695
